"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$EppN3Cf7rA2xpfFK$5fae9073e5d38490611ca408eda7a1a52f71da4f3943e70166995d3d87caf817","Gary","Cross","9342 Lori Bypass Suite 711
East Sandra, CO 92162","70857.87"
"1","carlsonholly@yahoo.com","pbkdf2:sha256:260000$yYCJhxdtXxiCMjVx$689edc3e19316ef6ada4a45bcb0e752723f5ad79ed86fbfd70ca8613c6c77893","Tracy","Robbins","230 Megan Junctions Suite 197
North Thomas, OK 67164","40821.83"
"2","bairdemma@hotmail.com","pbkdf2:sha256:260000$y6bxcgr29LRPhJIE$4ccbaa8a8a332e238794cea5987e6a42f5cf1b0c9110e810fb31a099b6d458b0","Anthony","Carson","4217 Burton Brooks
Robinville, KS 17988","85664.66"
"3","zsmith@hotmail.com","pbkdf2:sha256:260000$iwdoHDPNZR5qj9D2$25b0dce7b86667de0204a99e68a21f9c826f25d9871386475445e8540917e6bf","Sara","Evans","361 Robinson Green Apt. 635
North Lynntown, NC 59694","98623.86"
"4","berryerika@hotmail.com","pbkdf2:sha256:260000$PA3u61lBjkikGGzP$11aca2f8e6c0cbe08212b95aa8506462dc8c02f5349931a002d9f338c6089f6c","Charles","Scott","634 Petersen Orchard
Lawsonbury, AK 86613","31.94"
"5","debra94@gmail.com","pbkdf2:sha256:260000$gPMH1ET256SL6kFG$d5f420c0c8e0ef12100f978298006f629f98ce32ccf0d44795f348d9ebd2d570","John","Ellis","306 Watson Field
Kellyland, AZ 64223","33473.03"
"6","eric22@gmail.com","pbkdf2:sha256:260000$gYshiNMqKkAaTAuQ$666d31a04499adb4bc2fc13d1e951672fba179af99d0ad52055ede87d0f19b9b","Melissa","Cantu","45602 Phillip Squares
East Robertside, WA 19150","77473.54"
"7","bramirez@gmail.com","pbkdf2:sha256:260000$aLPcwMA9rkmDpcR7$ea0b1ab3aef261a9f32e0dd32a70ea7d89910f03a69623e4dfd7213c41f62f44","Michael","Montgomery","46896 Garcia Glen
Justinborough, CO 05147","9234.33"
"8","yroman@hotmail.com","pbkdf2:sha256:260000$EOKNumTrW2zZEW0a$15f9d1f7d94b1d8579c1447ab558269e9836a77243ad311c3d232f3c8c767577","Andrew","Oliver","90603 Monica Lakes Apt. 239
Cheyennehaven, LA 46778","53927.58"
"9","nhenson@yahoo.com","pbkdf2:sha256:260000$GDeU4WBII4TOvNHi$4a2f888618d6bc1b96fc8d6c9a37bb48de3b6f0d69144b4b5294d18a9c13a1e1","Kristen","Smith","602 Tracy Crossroad Suite 556
New Rachelside, ID 93702","38881.99"
"10","jensenanthony@hotmail.com","pbkdf2:sha256:260000$He2eVGLTqxc1nFvj$93d97c443456ac344400412ed00009526cfe1114a4d8f0ce6db580fcce2726e4","Mark","Burnett","38277 Padilla Common Suite 296
Port Leslie, MS 08257","27349.04"
"11","jennifersimmons@hotmail.com","pbkdf2:sha256:260000$3n04lNWQewuxttSc$6c16c53a454216b7f18a1dbb9977c85584fde34bf7629ed12541ed7d12f7e68b","Cassandra","Murphy","299 Johnny Valley Suite 007
West Kellyberg, IA 67011","46636.20"
"12","stephanie28@gmail.com","pbkdf2:sha256:260000$iCYh3fiDFog4zU7Z$04c3c37b164a546de1530e051e8fbf5dd3ae617f30a418bf865b45285930fa87","Amber","Moore","188 Fischer Grove
Justinchester, VT 37258","33841.68"
"13","mark06@yahoo.com","pbkdf2:sha256:260000$62RynkvtSd8YgFSn$e9af867763c32830384661facf96c4881ee32b9483f4abddc75c8a6b4530cdd2","David","Macias","550 James Creek
Williamstown, MO 16920","83305.35"
"14","gutierrezbryan@yahoo.com","pbkdf2:sha256:260000$hORUlLUGlneCeqTY$73daa994db17953932285c434d0103cd49576980110300f34e39ebdfbe1e5fe3","Kelly","Mckinney","251 Brown Knoll
Emilyshire, NH 54532","23680.03"
